ptr,hxw,kind,target,flip,mirror,orange,blue,white,black,dominant,note,placement,dir
86EB,13x3,player,orange,False,False,14,0,110,188,orange,ok,new(untracked),content\player\scene6_player_86EB
86EB,13x3,guard,blue,True,True,0,14,110,188,blue,ok,new(untracked),content\guard\scene6_guard_86EB_mir
9337,4x4,player,orange,True,False,20,0,35,57,orange,ok,new(untracked),content\player\scene6_player_9337
9337,4x4,guard,blue,False,True,0,20,35,57,blue,ok,new(untracked),content\guard\scene6_guard_9337_mir
8557,19x3,player,orange,True,False,14,5,178,259,orange,ok,new(untracked),content\player\scene6_player_8557
8557,19x3,guard,blue,False,True,5,14,178,259,blue,ok,new(untracked),content\guard\scene6_guard_8557_mir
86B5,13x4,player,orange,False,False,25,1,180,158,orange,ok,new(untracked),content\player\scene6_player_86B5
86B5,13x4,guard,blue,True,True,1,25,180,158,blue,ok,new(untracked),content\guard\scene6_guard_86B5_mir
816B,20x4,player,orange,False,False,16,0,185,359,orange,ok,new(untracked),content\player\scene6_player_816B
816B,20x4,guard,blue,True,True,0,16,185,359,blue,ok,new(untracked),content\guard\scene6_guard_816B_mir
90C1,4x5,player,orange,False,False,15,0,52,77,orange,ok,new(untracked),content\player\scene6_player_90C1
90C1,4x5,guard,blue,True,True,0,15,52,77,blue,ok,new(untracked),content\guard\scene6_guard_90C1_mir
8592,19x5,player,orange,True,False,15,1,207,461,orange,ok,new(untracked),content\player\scene6_player_8592
8592,19x5,guard,blue,False,True,1,15,207,461,blue,ok,new(untracked),content\guard\scene6_guard_8592_mir
8372,13x4,player,orange,False,False,20,0,181,163,orange,ok,new(untracked),content\player\scene6_player_8372
8372,13x4,guard,blue,True,True,0,20,181,163,blue,ok,new(untracked),content\guard\scene6_guard_8372_mir
876B,14x5,player,orange,False,False,11,0,200,293,orange,ok,new(untracked),content\player\scene6_player_876B
876B,14x5,guard,blue,True,True,0,11,200,293,blue,ok,new(untracked),content\guard\scene6_guard_876B_mir
9490,21x4,player,orange,True,False,88,4,354,142,orange,ok,new(untracked),content\player\scene6_player_9490
94E6,15x4,player,orange,True,False,79,0,36,305,orange,ok,new(untracked),content\player\scene6_player_94E6
8519,20x3,player,orange,True,False,20,6,130,324,orange,ok,new(untracked),content\player\scene6_player_8519
8519,20x3,guard,blue,False,True,6,20,130,324,blue,ok,new(untracked),content\guard\scene6_guard_8519_mir
9323,6x3,player,orange,True,False,29,0,58,57,orange,ok,new(untracked),content\player\scene6_player_9323
9323,6x3,guard,blue,False,True,0,29,58,57,blue,ok,new(untracked),content\guard\scene6_guard_9323_mir
92F9,5x4,player,orange,True,False,22,1,82,35,orange,ok,new(untracked),content\player\scene6_player_92F9
92F9,5x4,guard,blue,False,True,1,22,82,35,blue,ok,new(untracked),content\guard\scene6_guard_92F9_mir
84A0,20x3,player,orange,True,False,19,2,164,295,orange,ok,new(untracked),content\player\scene6_player_84A0
84A0,20x3,guard,blue,False,True,2,19,164,295,blue,ok,new(untracked),content\guard\scene6_guard_84A0_mir
80B1,22x2,player,orange,False,False,11,0,114,227,orange,ok,new(untracked),content\player\scene6_player_80B1
80B1,22x2,guard,blue,True,True,0,11,114,227,blue,ok,new(untracked),content\guard\scene6_guard_80B1_mir
